Name	Short Name
"1,1,1,3,3,3-Hexafluoro-2-propanol"	HFP
"1,2-butanediol"	12ButD
"1,2-Propanediol"	12PropD
"1,2,3-heptanetriol"	123HepT
"1,3-Butanediol"	13ButD
"1,3-Propanediol"	13PropD
"1,4-Butanediol"	14ButD
"1,5-Diaminopentane dihydrochloride"	15PentNH2
"1,5-Hexanediol"	15HexD
"1,6-Diaminohexane"	16HexNH2
"1,6-Hexanediol"	16HexD
"1,8-Diaminooctane"	18OctNH2
2-Aminoethanesulfonic acid	Taurine
2-Butanol	2-ButOH
2-Methyl-2-propanol	t-ButOH
"2-Methyl-2,4-pentanediol"	MPD
"2,2,2-Trifluoroethanol"	TFE
"2,5-Hexanediol"	25HexD
4-Butyrolactone	GBL
6-Aminohexanoic acid	EACA
Adenosine-5'-triphosphate disodium salt	Na2 ATP
Antifoam B	AF B
Benzamidine hydrochloride	Benz HCl
Betaine Citrate	BetCit
Betaine hydrochloride	Betaine HCl
Choline Citrate	CholCit
D-Galactose	Galactose
D-Glucose	Glucose
D-Sorbitol	Sorbitol
D-Sucrose	Sucrose
D-Trehalose	Trehalose
"Dextran sulfate sodium salt 5,000"	DexSO4 5K
Dichloromethane	CH2Cl2
Dimethyl sulfoxide	DMSO
Dimethylformamide	DMF
Dithiothreitol	DTT
Ethyl acetate	Ethyl Acet
Ethylene glycol	EG
Ethylene imine polymer	PEI
Ethylenediaminetetraacetic acid	EDTA
Ethyleneglycoltetracetic acid	EGTA
Glycerol	Glycerol
Glycine	Gly
Guanidine hydrochloride	Guanidine HCl
Heparin Sodium Salt	heparin
Imidazole	Imidazole
L-Argininamide dihydrochloride	ArgAd HCl2
L-Arginine	Arg
L-Cysteine	Cys
"L-Glutathione reduced, L-Glutathione oxidized"	GSH GSSG
L-Proline	Pro
myo-Inositol	Inositol
Nicotinamide adenine dinucleotide	NAD
Pentaerythritol ethoxylate (3/4 EO/OH)	PE3/4
"Polyethylene glycol 1,000"	PEG 1K
"Polyethylene glycol 1,500"	PEG 1500
"Polyethylene glycol 10,000"	PEG 10K
"Polyethylene glycol 2,000"	PEG 2K
"Polyethylene glycol 20,000"	PEG 20K
Polyethylene glycol 200	PEG 200
"Polyethylene glycol 3,000"	PEG 3K
"Polyethylene glycol 3,350"	PEG 3350
Polyethylene glycol 300	PEG 300
"Polyethylene glycol 4,000"	PEG 4K
Polyethylene glycol 400	PEG 400
"Polyethylene glycol 6,000"	PEG 6K
Polyethylene glycol 600	PEG 600
"Polyethylene glycol 8,000"	PEG 8K
"Polyethylene glycol monomethyl ether 2,000"	PEG MME 2K
"Polyethylene glycol monomethyl ether 5,000 "	PEG MME 5K
Polyethylene glycol monomethyl ether 550	PEG MME 550
Polypropylene glycol 400	PPG 400
Polyvinylpyrrolidone K15	PVP K15
Tris(2-carboxyethyl)phosphine hydrochloride	TCEP HCl
Tryptone	Tryptone
Tyloxapol	Tyloxapol
Urea	Urea
Xylitol	Xylitol
